"","NCBI Taxon ID","Species Name","predicted_cd_activity","cysK","cysM","lcd","malY","metC","tnaA"
"33",46506,"Bacteroides stercoris","cd expected","pos",NA,"pos","pos",NA,"pos"
"34",29466,"Veillonella parvula","not searched",NA,NA,NA,NA,NA,NA
"35",1304,"Streptococcus salivarius","not searched",NA,NA,NA,NA,NA,NA
"36",28026,"Bifidobacterium pseudocatenulatum","not searched",NA,NA,NA,NA,NA,NA
"37",1681,"Bifidobacterium bifidum","not searched",NA,NA,NA,NA,NA,NA
"38",1160721,"Ruminococcus bicirculans","not searched",NA,NA,NA,NA,NA,NA
"39",1623,"Lactobacillus ruminis","cd expected","pos",NA,"pos","pos",NA,NA
"40",1547,"Erysipelatoclostridium ramosum","not searched",NA,NA,NA,NA,NA,NA
"41",550,"Enterobacter cloacae","not searched",NA,NA,NA,NA,NA,NA
"42",487174,"Barnesiella intestinihominis","not searched",NA,NA,NA,NA,NA,NA
"43",28052,"Lachnospira pectinoschiza","not searched",NA,NA,NA,NA,NA,NA
"44",1352,"Enterococcus faecium","not searched",NA,NA,NA,NA,NA,NA
"45",35833,"Bilophila wadsworthia","not searched",NA,NA,NA,NA,NA,NA
"46",1685,"Bifidobacterium breve","not searched",NA,NA,NA,NA,NA,NA
"47",360807,"Roseburia inulinivorans","not searched",NA,NA,NA,NA,NA,NA
"48",1282,"Staphylococcus epidermidis","not searched",NA,NA,NA,NA,NA,NA
"49",39486,"Dorea formicigenerans","cd expected","pos",NA,NA,"pos",NA,NA
"50",187327,"Acidaminococcus intestini","cd expected",NA,NA,NA,"pos","pos",NA
"51",154046,"Hungatella hathewayi","not searched",NA,NA,NA,NA,NA,NA
"52",291644,"Bacteroides salyersiae","not searched",NA,NA,NA,NA,NA,NA
"53",1254,"Pediococcus acidilactici","not searched",NA,NA,NA,NA,NA,NA
"54",338188,"Bacteroides finegoldii","cd expected","pos",NA,"pos","pos",NA,NA
"55",1590,"Lactobacillus plantarum","not searched",NA,NA,NA,NA,NA,NA
"56",61645,"Enterobacter asburiae","not searched",NA,NA,NA,NA,NA,NA
"57",1318,"Streptococcus parasanguinis","not searched",NA,NA,NA,NA,NA,NA
"58",1432052,"Eisenbergiella tayi","not searched",NA,NA,NA,NA,NA,NA
"59",150055,"Streptococcus lutetiensis","not searched",NA,NA,NA,NA,NA,NA
"60",47715,"Lactobacillus rhamnosus","not searched",NA,NA,NA,NA,NA,NA
"61",544645,"Butyricimonas virosa","cd expected",NA,NA,"pos","pos",NA,"pos"
"62",328812,"Parabacteroides goldsteinii","not searched",NA,NA,NA,NA,NA,NA
"63",40545,"Sutterella wadsworthensis","not searched",NA,NA,NA,NA,NA,NA
"64",33035,"Blautia producta","not searched",NA,NA,NA,NA,NA,NA
"65",84112,"Eggerthella lenta","not searched",NA,NA,NA,NA,NA,NA
"66",328813,"Alistipes onderdonkii","cd expected","pos","pos",NA,"pos",NA,"pos"
"67",287,"Pseudomonas aeruginosa","not searched",NA,NA,NA,NA,NA,NA
"68",100886,"Catenibacterium mitsuokai","cd expected","pos",NA,NA,"pos",NA,NA
"69",28125,"Prevotella bivia","not searched",NA,NA,NA,NA,NA,NA
"70",1624,"Lactobacillus salivarius","not searched",NA,NA,NA,NA,NA,NA
"71",39483,"Faecalitalea cylindroides","not searched",NA,NA,NA,NA,NA,NA
"72",1563222,"Citrobacter pasteurii","not searched",NA,NA,NA,NA,NA,NA
"73",1605,"Lactobacillus animalis","not searched",NA,NA,NA,NA,NA,NA
"74",626929,"Bacteroides clarus","not searched",NA,NA,NA,NA,NA,NA
"75",1653434,"Sellimonas intestinalis","not searched",NA,NA,NA,NA,NA,NA
"76",1597,"Lactobacillus paracasei","not searched",NA,NA,NA,NA,NA,NA
"77",28025,"Bifidobacterium animalis","not searched",NA,NA,NA,NA,NA,NA
"78",674529,"Bacteroides faecis","not searched",NA,NA,NA,NA,NA,NA
"79",1353,"Enterococcus gallinarum","not searched",NA,NA,NA,NA,NA,NA
"80",1596,"Lactobacillus gasseri","not searched",NA,NA,NA,NA,NA,NA
"81",905,"Acidaminococcus fermentans","not searched",NA,NA,NA,NA,NA,NA
"82",53443,"Blautia hydrogenotrophica","cd expected","pos",NA,NA,NA,NA,NA
"83",1747,"Cutibacterium acnes","not searched",NA,NA,NA,NA,NA,NA
"84",1496,"Clostridioides difficile","not searched",NA,NA,NA,NA,NA,NA
